Bank,City,Branch,Location,Review,Rating,Date
Al Barid Bank,Casablanca,"Al Barid Bank, Agence Agdal","X5X2+P4X, Av. Fal Ould Oumeir, Rabat",Personne à l'agence en heure de pointe. 45 min d’attente pour envoyer un courrier. A fuir,1 étoile,il y a un an
Al Barid Bank,Casablanca,"Al Barid Bank, Agence Agdal","X5X2+P4X, Av. Fal Ould Oumeir, Rabat","Personnel aigri. 30 min d’attente pour mon colis alors que y’a personne à l’agence sauf le le directeur qui pianotait sur son tel et ordinateur au lieu de faire un petit geste et se lever pour voir cette cliente qui attend sous prétexte que c’est l’heure  de la prière avez vous penser à ceux qui ont une petite pause aussi qui travaillent comme vous qui ont pas bq de temps à ma grande surprise la porte s’ouvre à un fonctionnaire d’état avec un gros sourire pendant que cette femme attend son colis toujours vous êtes graves avec vos apparences .
Ps horaires continues soit disant la poste qui est un organisme de fonction public devrait respecter ses horaires pour servir le contribuable ( ceux qui les payent )",1 étoile,il y a 2 ans
Al Barid Bank,Casablanca,"Al Barid Bank, Agence Agdal","X5X2+P4X, Av. Fal Ould Oumeir, Rabat","Mauvais service et délai d'attente trop long devant la porte.
System toujours en panne et caissiers souvant en pause...je galére à chaque fois que je visite cette agence...
""Une étoile car il n y a pas 0""",1 étoile,il y a 2 ans
Al Barid Bank,Casablanca,Agence Al Barid Bank,"2572+68F, N1, Rabat","Staff serviable et aimable.
Frais de la banque sont abordables et raisonables.
Et bien sûr l'application BBM facilite les opérations nécessaires dans le quotidien sans se déplacer (virements , mandats et autres ...)",4 étoiles,il y a 4 ans
Al Barid Bank,Casablanca,Agence Al Barid Bank,"2572+68F, N1, Rabat","Agence Barid Cash Rabat Diour Jamaa

BARID CASH
Créée en 2014, Barid Cash filiale d’Al Barid Bank offre un service de transfert simple et rapide pour envoyer et recevoir de l’argent au Maroc et à l’étranger.

Barid Cash s’est imposé une cadence de développement accélérée avec pour axe principal la diversification de sa gamme de produits et services ainsi que la densification de son réseau d’agences.

Barid Cash vous offre également une panoplie complète de services de proximité tels que le paiement mobile le paiement de factures de taxes et impôts, l’achat de ticket de transport",5 étoiles,il y a 2 ans
Al Barid Bank,Casablanca,Agence Al Barid Bank,"2572+68F, N1, Rabat",Service de caisse médiocre,2 étoiles,il y a 4 ans
Al Barid Bank,Casablanca,Al Barid Bank,"H88J+8R3 20220 Quartier:, Bd Oued Oum Errabia, Casablanca 20100","Service lamentable.
Il faut attendre un temps fou pour faire un versement.
Un seul guichet est ouvert pour exécuter toutes les opérations bancaires.
La mentalité de la mo9at3a subsiste dans notre cher royaume !",1 étoile,il y a un an
Al Barid Bank,Casablanca,Al Barid Bank,"H88J+8R3 20220 Quartier:, Bd Oued Oum Errabia, Casablanca 20100",Très serviable Utile.,4 étoiles,il y a 3 ans
Al Barid Bank,Casablanca,Al Barid Bank,"H88J+8R3 20220 Quartier:, Bd Oued Oum Errabia, Casablanca 20100",Énormement Bad service,1 étoile,il y a 3 ans
Al Barid Bank,Casablanca,Al Barid Bank,"HCFR+7MP, Casablanca 20250","Comment vous demandez aux gents d'ouvrir des comptes bancaires chez vous alors que le minimum qui est le délais de traitement est très longs . Ça fait une heure que je suis devant la porte de votre banque pour juste faire un versement  j'attend mon tour . PS 1 j'ai fais le tour de vos agences a casa et elles sont toutes pleines .
PS2 la plupart de vos  clients sont des personnes très âgées qui attendent dehors vos portes msakan ça fait plus qu'une heure ....merci de revoir votre gestion a ce niveau ce n'est pas digne d'une grande structure comme.la votre",1 étoile,il y a 4 ans
Al Barid Bank,Casablanca,Al Barid Bank,"HCFR+7MP, Casablanca 20250",Prestations très médiocres,1 étoile,il y a 2 ans
Al Barid Bank,Casablanca,Al Barid Bank,"HCFR+7MP, Casablanca 20250",Pas de texte,5 étoiles,il y a 4 mois
Al Barid Bank,Casablanca,Barid Al Maghrib,"46 Av. Moulay Ismail, Rabat","Mauvaise expérience sur l'agence. Un seul chargé de caisse qui a besoin de plus de cinq minutes pour traiter un seul service avec un seul client.
Trop de temps perdu pour rendre un service simple.
Service de très mauvaise qualité",1 étoile,il y a 4 mois
Al Barid Bank,Casablanca,Barid Al Maghrib,"46 Av. Moulay Ismail, Rabat","Les pires services du pays (poste Maroc et albarid bank)
- manque de respect en agence
- perte du temps en attente
- mauvais service en ligne
le pire de tout cela : le centre relation client
il se considère comme ""un employé du gouvernement"" et non comme une entreprise ""semi-publique"" à but lucratif",1 étoile,il y a 5 ans
Al Barid Bank,Casablanca,Barid Al Maghrib,"46 Av. Moulay Ismail, Rabat","Service déplaisant, aucune prise en charge, personnel désagréable. Je ne recommande vraiment mais vraiment pas cette banque ! Très très décevant",1 étoile,il y a 4 mois
Al Barid Bank,Casablanca,Al barid Bank,"G8RF+C8X, Casablanca",Agence haj fateh service nul suite a une faute grave de la part de la personne au guichet qui a renseigner sur le systeme un mauvais montant alors que sur la papier il y avait un autre montant aucune responsabilité de la part ni de la personne ni de la directrice qui ne veut pas faire son travail agence irresponsable je reposerai jamais les pieds chez eux directrice pas former et pas a la hauteur du poste,1 étoile,il y a un an
Al Barid Bank,Casablanca,Al barid Bank,"G8RF+C8X, Casablanca","A ÉVITER A TOUT PRIX.
je voulais faire un retrait hier de 1000dh, j'ai effectué la transaction à la Gab mais j'ai pas reçu l'argent alors qu'ils ont débité l'argent de mon compte, on …",1 étoile,il y a 3 ans
Al Barid Bank,Casablanca,Al barid Bank,"G8RF+C8X, Casablanca","Vraiment une calamité !
Que dire quand on voit un service pareil !
Attente incroyable, accueil zéro !!!",1 étoile,il y a 2 ans
Al Barid Bank,Casablanca,"Al Bard Bank, Agence Maarif, Casablanca.","شارع بير انزران،, Casablanca","Une cata ! Les clients doivent attendre leur tour dehors en ce mois de juillet, au soleil, a cause de la pandémie actuelle... le problème est la lenteur du traitement des services des clients + LE MANQUE D'EFFECTIF !!! UNE SEULE PERSONNE POUR TRAITER DES CENTAINES DE DEMANDES DE CLIENTS PAR JOUR !!! J'AI ATTENDU 2H DEHORS !!! Vous vous en rendez compte ? LES GENS S'ENTASSENT SOUS LE PEU D'ABRIS À L'OMBRE, DES VIEILLARD, DES FEMMES ENCEINTES... Le service est déplorable à cause du manque de ressources rien de plus.",1 étoile,il y a 3 ans
Al Barid Bank,Casablanca,"Al Bard Bank, Agence Maarif, Casablanca.","شارع بير انزران،, Casablanca","L'agent de sécurité est très sympathique.
Le service de caisse est raisonnablement rapide. Le seul bémol, c'est que le service pour les autoentrepreneurs est lent.",4 étoiles,il y a un an
Al Barid Bank,Casablanca,"Al Bard Bank, Agence Maarif, Casablanca.","شارع بير انزران،, Casablanca",Au bout d'une heure d'attente...nous sommes 37 dans la salle d'attente pour seulement 2 employés au guichet principal et une employée dans un box. Celle-ci papote tranquillement avec une amie pendant que les gens attendent. …,1 étoile,il y a 8 ans
Al Barid Bank,Casablanca,Al barid Bank,"H9W7+329, Casablanca 20250",Servise nul et le directeur C’est pas professionnel 😡😡😡 …,1 étoile,il y a 7 mois
Al Barid Bank,Casablanca,Al barid Bank,"H9W7+329, Casablanca 20250",Personnel toujours en pause ou en réunion !!!!,1 étoile,il y a 5 mois
ATTIJARIWAFA BANK,Casablanca,AttijariWafa Banque,"G9PX+F6M, Casablanca","Je viens de créer un compte bancaire chez L'banka Lik et j'ai reçu une notification de l'application que ma carte guichet est disponible à l'agence. Le lendemain je suis partie la récupérer à 8h15, malheureusement la première chose communiquée est la connexion qui ne marche pas, et donc pas de carte, j'ai resté 15 min en attente sans l'intervention d'une personne. J'ai donc pris l'initiative de poser la question si la connexion est rétablie, finalement, la connexion fonctionnait et depuis je sais pas combien de temps mais on n'a pas pris la peine de m'informer et la grande surprise est que ma carte n'était toujours pas disponible !",2 étoiles,il y a 6 mois
ATTIJARIWAFA BANK,Casablanca,AttijariWafa Banque,"G9PX+F6M, Casablanca","Bonne agence, manque juste l'appareil pour la file d'attente",4 étoiles,il y a 8 mois
